AP	DC	SC	HC	RMS	PKLV	RSSI	SNR	LOC
3	5	0	1	-12.9	-40.78	-78	39	r
3	5	0	1	-11.77	-42.1	-78	1	r
4	10	0	0	-26.58	-48.03	-82	2	r
15	10	0	4	-14.91	-40.51	-83	17	h
62	75	0	40	-6.88	-30.69	-76	8	p
88	240	0	101	-5.12	-28.77	-80	8	g
17	5	0	0	-42.14	-48.16	-85	15	h
4	1	0	2	-42.14	-48.16	-81	8	r
77	155	0	38	-11.51	-43.43	-79	9	g
5	7	0	1	-12.32	-47.87	-82	3	r
4	1	0	0	-28.16	-48.12	-82	7	r
15	12	0	2	-42.14	-48.18	-84	16	h
77	199	0	81	-12.6	-41.92	-82	9	g
16	12	0	2	-22.14	-47.59	-84	15	h
3	4	0	0	-36.12	-48.11	-76	3	r
4	6	0	0	-14.19	-43.17	-82	5	r
92	147	0	39	-2.23	-40.08	-80	7	g
60	106	0	46	-14.54	-43.12	-82	4	g
3	11	0	0	-14.19	-45.98	-77	3	r
71	95	0	28	-1.8	-29.05	-78	13	p
64	109	1	73	-2.23	-26.34	-78	9	p
82	165	0	32	-18.62	-47.12	-80	8	g
3	5	0	0	-12.6	-44.85	-78	2	r
69	50	0	30	-18.62	-40.31	-76	6	p
85	186	0	40	-3.87	-36.83	-81	8	g
66	76	0	47	-5.49	-34.78	-76	9	p
5	6	0	2	-12.04	-45.3	-82	5	r
12	11	0	4	-20.56	-46.89	-85	12	h
67	137	0	81	-1.72	-30.4	-77	8	p
19	5	4	3	0.0	-20.76	-84	31	h
3	6	0	1	-25.24	-48.06	-77	4	r
14	6	0	3	-12.04	-40.66	-83	18	h
4	2	0	4	-20.56	-47.27	-82	16	r
66	138	0	92	-5.0	-27.48	-77	9	p
13	22	5	2	-6.16	-34.08	-81	20	h
3	5	0	1	-32.6	-48.04	-79	1	r
13	8	0	0	-42.14	-48.17	-83	25	h
75	115	0	61	-1.4	-25.19	-77	6	p
4	2	0	0	-32.6	-48.12	-81	3	r
4	6	0	0	-26.58	-47.97	-81	3	r
11	8	1	2	-12.9	-39.37	-81	23	h
6	29	1	2	-19.87	-44.72	-81	21	h
4	5	0	1	-8.7	-40.83	-79	3	r
55	112	0	58	-15.7	-39.3	-82	7	g
11	10	0	1	-12.6	-46.08	-79	17	h
67	82	0	35	-1.48	-36.6	-75	8	p
4	6	0	1	-21.32	-48.08	-81	3	r
15	15	2	3	-14.91	-38.35	-84	16	h
59	133	0	55	0.0	-29.96	-82	13	g
3	7	0	1	-19.22	-46.84	-78	13	r
66	98	0	32	-1.08	-31.54	-77	6	p
88	195	0	49	-14.19	-42.6	-79	10	g
72	181	0	78	-9.08	-40.26	-81	7	g
4	1	0	0	-24.08	-46.51	-82	1	r
69	85	0	45	-2.41	-30.1	-78	8	p
17	8	0	2	-16.57	-44.26	-85	15	h
13	8	1	3	0.0	-34.9	-81	20	h
73	88	0	32	0.0	-30.88	-77	11	p
58	129	0	55	-17.54	-43.15	-82	7	g
50	127	0	41	-5.89	-36.57	-81	6	g
4	5	0	2	-21.32	-46.34	-80	33	r
69	56	0	44	-12.32	-36.69	-75	9	p
71	98	1	79	-3.66	-28.87	-77	9	p
87	195	0	36	0.0	-30.29	-80	7	g
68	55	0	51	-6.73	-35.87	-76	8	p
17	11	0	1	-42.14	-48.17	-85	16	h
67	52	0	48	-11.77	-34.87	-75	9	p
4	4	0	1	-32.6	-48.14	-80	11	r
3	6	0	2	-12.32	-43.28	-80	0	r
64	77	0	39	-2.06	-28.16	-76	12	p
14	9	3	1	-7.34	-35.13	-84	14	h
65	160	0	90	-15.7	-42.75	-81	6	g
81	202	0	115	-3.16	-31.45	-79	10	g
49	148	0	39	-10.32	-39.65	-81	6	g
4	5	0	0	-12.9	-47.85	-82	3	r
75	54	0	39	-6.73	-30.93	-76	8	p
13	6	0	3	-4.3	-41.15	-82	23	h
71	57	0	37	-15.3	-39.61	-77	6	p
102	189	0	58	0.0	-38.9	-80	9	g
4	3	0	0	-42.14	-48.16	-82	4	r
63	131	0	84	-4.41	-25.94	-78	8	p
3	7	0	0	-7.03	-43.33	-78	5	r
71	103	0	39	-5.49	-32.82	-77	11	p
77	152	0	46	-9.08	-40.97	-79	8	g
15	6	0	0	-42.14	-48.16	-83	18	h
3	7	0	1	-11.26	-46.95	-79	3	r
4	1	0	0	-36.12	-48.14	-82	3	r
4	1	0	1	-32.6	-48.16	-82	3	r
14	11	0	1	-18.06	-42.63	-82	20	h
10	9	1	2	-13.84	-42.36	-82	21	h
68	38	0	40	-8.7	-35.76	-77	8	p
86	167	0	38	-10.78	-37.48	-79	8	g
85	160	0	39	-18.62	-42.54	-79	7	g
14	7	0	0	-42.14	-48.18	-83	18	h
21	13	1	2	-18.62	-38.37	-86	17	h
80	174	0	56	0.0	-34.37	-80	7	g
68	68	0	43	-6.58	-29.65	-76	11	p
17	13	0	2	-23.06	-45.98	-83	19	h
68	80	0	50	-10.55	-35.15	-75	9	p
63	69	0	44	-9.28	-35.66	-76	5	p
65	80	0	36	-3.45	-30.32	-77	9	p
14	8	0	1	-42.14	-48.18	-83	16	h
72	135	0	61	-3.45	-23.63	-77	8	p
18	12	0	3	-9.08	-35.24	-86	11	h
68	88	0	49	-9.47	-36.6	-75	8	p
4	3	0	0	-30.1	-48.12	-81	6	r
17	13	0	2	-10.1	-41.05	-84	14	h
9	46	0	1	-12.6	-44.03	-82	19	h
80	155	0	43	0.0	-20.32	-82	6	g
12	9	0	2	-19.87	-42.96	-81	25	h
59	114	0	39	-4.88	-39.33	-82	6	g
66	79	0	32	-6.16	-31.44	-78	7	p
74	116	0	37	-2.96	-35.41	-82	7	g
3	6	0	0	-12.9	-47.93	-80	3	r
8	6	4	1	-12.32	-38.67	-79	10	h
4	0	0	0	-42.14	-48.16	-82	0	r
59	121	0	80	-5.37	-28.06	-77	10	p
70	126	0	57	0.0	-22.92	-77	6	p
21	14	0	1	-36.12	-48.15	-86	20	h
69	169	0	37	-9.89	-41.58	-79	8	g
83	166	1	41	0.0	-21.41	-81	7	g
18	7	0	3	-25.24	-46.75	-85	16	h
76	223	0	94	-6.02	-39.29	-79	9	g
66	200	0	83	-20.56	-42.84	-82	7	g
5	5	0	1	-3.66	-35.01	-83	29	r
58	165	0	63	-16.57	-43.33	-82	6	g
69	66	0	25	-0.63	-29.43	-77	7	p
75	288	0	67	-0.71	-35.95	-80	9	g
10	7	0	1	-13.84	-44.65	-81	15	h
16	14	0	0	-30.1	-48.09	-84	20	h
15	12	0	4	-24.08	-46.58	-83	12	h
86	184	0	40	-20.56	-46.17	-78	8	g
96	221	0	36	-16.57	-39.37	-81	7	g
9	7	4	2	-11.26	-37.43	-80	25	h
8	5	2	1	-14.19	-43.94	-81	16	h
4	1	0	0	-15.3	-48.02	-82	6	r
6	6	0	1	-4.53	-42.8	-76	12	h
90	131	0	47	-9.28	-36.92	-81	10	g
79	123	0	65	-1.24	-26.49	-77	6	p
70	49	0	29	-9.47	-37.04	-76	5	p
9	10	4	5	-12.04	-39.03	-79	15	h
3	2	0	0	-14.54	-42.32	-77	2	r
3	4	0	0	-11.02	-43.07	-77	28	r
4	1	0	0	-13.84	-42.85	-81	4	r
80	225	0	103	-11.77	-42.45	-79	8	g
70	90	0	45	-8.7	-33.18	-77	7	p
5	5	0	1	-7.34	-39.27	-83	2	r
78	241	0	79	-3.87	-37.71	-80	7	g
59	97	0	24	-16.12	-40.54	-81	4	g
69	208	0	45	-16.57	-41.66	-79	9	g
15	8	1	3	-21.32	-44.58	-86	5	h
66	80	0	44	-6.44	-30.64	-77	9	p
15	8	0	5	-7.5	-33.62	-82	21	h
69	55	0	32	-15.7	-38.28	-77	5	p
67	111	0	83	-4.53	-28.5	-77	8	p
4	1	0	0	-32.6	-48.11	-82	8	r
66	59	0	47	-10.55	-33.83	-75	5	p
66	109	0	94	-1.56	-22.38	-78	9	p
3	9	0	0	-36.12	-48.14	-78	3	r
3	2	0	1	-15.7	-46.14	-77	4	r
63	93	0	54	-9.28	-35.11	-77	4	p
9	11	6	2	-14.91	-35.32	-79	17	h
4	2	0	1	-15.3	-48.03	-82	5	r
13	12	0	1	-21.32	-43.44	-85	14	h
6	7	5	1	-13.52	-36.68	-76	9	h
71	81	0	41	-13.2	-36.85	-76	8	p
3	3	0	0	-7.66	-40.26	-77	2	r
84	176	0	46	-9.89	-41.81	-79	5	g
19	12	0	2	-7.99	-44.03	-85	13	h
68	75	0	33	-5.75	-32.55	-77	5	p
76	93	0	62	-7.99	-33.7	-75	9	p
73	137	0	98	-3.16	-31.29	-79	9	g
62	155	0	55	-12.6	-45.28	-81	2	g
4	6	0	0	-21.32	-46.06	-82	4	r
11	7	1	1	-18.62	-43.14	-82	23	h
3	2	0	0	-12.04	-39.55	-79	4	r
93	105	0	46	-3.56	-40.83	-80	6	g
13	19	3	2	-15.7	-38.48	-82	19	h
97	163	0	42	-7.5	-40.41	-80	5	g
68	84	0	55	-10.1	-35.67	-75	8	p
16	8	0	4	-19.22	-43.15	-87	10	h
9	15	3	3	-21.32	-40.54	-80	28	h
11	10	0	2	-7.18	-42.36	-80	17	h
96	187	0	52	-12.9	-42.15	-80	9	g
4	4	0	0	-4.08	-35.58	-81	2	r
67	63	0	31	-14.54	-37.78	-75	9	p
3	5	0	0	-17.04	-46.8	-79	27	r
5	4	0	2	-0.07	-33.34	-83	9	r
2	5	0	1	-9.89	-40.28	-74	12	r
79	221	3	107	0.0	-26.03	-80	8	g
73	94	0	61	-9.28	-34.32	-76	7	p
4	1	0	0	-17.54	-48.09	-81	8	r
69	120	0	61	-1.64	-23.23	-77	7	p
91	152	0	29	-22.14	-46.49	-81	8	g
93	171	0	37	0.0	-33.83	-80	8	g
51	125	3	45	-5.24	-31.69	-82	9	g
13	14	1	5	-19.22	-43.21	-81	22	h
75	243	0	83	-2.32	-39.37	-80	9	g
3	9	0	0	-6.73	-36.58	-77	2	r
72	93	0	28	-0.78	-26.54	-77	9	p
72	138	0	40	0.0	-35.04	-81	6	g
66	58	0	45	-4.41	-34.99	-76	8	p
68	78	0	49	-9.68	-34.64	-76	8	p
73	51	1	40	-3.45	-26.95	-77	10	p
82	185	0	41	-13.52	-43.34	-80	8	g
75	93	0	47	-5.75	-32.19	-75	10	p
86	157	0	37	0.0	-30.08	-82	8	g
68	77	0	46	-0.07	-35.41	-75	8	p
61	50	0	35	-10.32	-36.04	-76	6	p
96	123	0	45	-14.91	-43.15	-81	10	g
67	75	0	38	-5.62	-34.72	-78	11	p
87	156	0	39	-6.02	-39.45	-80	7	g
17	7	0	3	-16.57	-43.21	-84	13	h
16	11	0	1	-42.14	-48.15	-85	19	h
15	14	0	1	-15.7	-45.64	-84	14	h
68	80	0	52	-8.52	-33.64	-76	10	p
3	5	0	0	-7.66	-38.57	-78	4	r
79	227	0	53	-0.49	-40.91	-79	9	g
13	7	1	3	-4.41	-36.84	-82	17	h
65	127	0	87	-0.56	-24.77	-76	10	p
3	2	0	0	-22.14	-46.58	-77	6	r
7	17	0	1	-4.53	-42.66	-86	26	h
77	122	1	70	0.0	-23.22	-77	7	p
4	1	0	0	-25.24	-48.04	-82	2	r
5	9	0	3	-11.02	-39.84	-83	6	r
64	82	0	44	0.0	-34.4	-77	7	p
83	141	0	51	-6.73	-36.12	-79	8	g
3	3	0	0	-16.57	-44.55	-76	3	r
4	3	0	0	-4.19	-36.35	-78	4	r
16	6	0	3	-16.57	-41.15	-86	6	h
14	9	0	3	-9.68	-32.67	-84	19	h
65	62	0	45	-11.26	-37.53	-75	5	p
82	99	0	49	-4.53	-35.25	-79	6	g
24	11	0	3	-14.19	-44.75	-86	13	h
79	233	0	88	-16.57	-40.88	-80	10	g
3	6	0	0	-4.41	-42.62	-77	3	r
66	88	0	83	-4.64	-28.94	-78	7	p
4	1	0	0	-26.58	-48.0	-81	3	r
57	144	0	65	-7.82	-39.17	-82	5	g
84	241	0	79	-8.34	-41.93	-80	8	g
78	191	0	89	-8.89	-33.09	-80	10	g
71	50	0	31	-12.9	-37.94	-76	4	p
5	4	0	0	-19.22	-45.96	-83	2	r
85	179	0	49	-8.7	-37.02	-79	5	g
70	123	1	82	0.0	-24.79	-76	9	p
4	4	0	0	-26.58	-47.94	-82	4	r
67	71	0	50	-3.16	-35.25	-74	8	p
70	97	0	34	-0.28	-33.79	-77	8	p
20	17	3	5	-14.19	-40.58	-84	11	h
86	134	0	36	-18.62	-44.42	-80	10	g
55	132	0	52	-15.7	-44.16	-81	3	g
3	1	0	0	-6.3	-37.86	-77	1	r
4	5	0	1	-28.16	-48.05	-82	2	r
75	77	0	49	-5.75	-30.63	-75	8	p
72	63	0	29	-9.47	-35.57	-77	7	p
